tile_id,tile_geometry,pos_date,pos
0526d2ed-5bfa-497e-bfe3-c55822dfde0d_1,"POLYGON ((-96.182577 46.242294, -96.18321498588111 46.24242159717624, -96.18320378233452 46.24264033879164, -96.18237462280021 46.242619891033826, -96.18238939695154 46.242331520609696, -96.182577 46.242294))",2021-12-28,0.013602104981492204
0526d2ed-5bfa-497e-bfe3-c55822dfde0d_2,"POLYGON ((-96.1818006842105 46.2424492631579, -96.18238939695154 46.242331520609696, -96.18237462280021 46.242619891033826, -96.1817618064943 46.24260477402277, -96.1818006842105 46.2424492631579))",2021-12-28,0.01610384975688095
0526d2ed-5bfa-497e-bfe3-c55822dfde0d_3,"POLYGON ((-96.18317431559204 46.24321563923539, -96.18234514741182 46.24319519106929, -96.18237462280021 46.242619891033826, -96.18320378233452 46.24264033879164, -96.18317431559204 46.24321563923539))",2021-12-28,0.01579406631762653
0526d2ed-5bfa-497e-bfe3-c55822dfde0d_4,"POLYGON ((-96.1817618064943 46.24260477402277, -96.18237462280021 46.242619891033826, -96.18234514741182 46.24319519106929, -96.18161868240243 46.24317727039024, -96.1817618064943 46.24260477402277))",2021-12-28,0.016512002788306557
0526d2ed-5bfa-497e-bfe3-c55822dfde0d_5,"POLYGON ((-96.1838871756198 46.242556035124, -96.18388821868636 46.2426572125801, -96.18320378233452 46.24264033879164, -96.18321498588111 46.24242159717624, -96.1838871756198 46.242556035124))",2021-12-28,0.015463689131109013
0526d2ed-5bfa-497e-bfe3-c55822dfde0d_6,"POLYGON ((-96.183894 46.243218, -96.18389455552139 46.243233395878626, -96.18317431559204 46.24321563923539, -96.18320378233452 46.24264033879164, -96.18388821868636 46.2426572125801, -96.183894 46.243218))",2021-12-28,0.016722408026755942
0526d2ed-5bfa-497e-bfe3-c55822dfde0d_7,"POLYGON ((-96.18314484795023 46.24379093960641, -96.18231567112382 46.243770491032066, -96.18234514741182 46.24319519106929, -96.18317431559204 46.24321563923539, -96.18314484795023 46.24379093960641))",2021-12-28,0.01571997484804028
0526d2ed-5bfa-497e-bfe3-c55822dfde0d_8,"POLYGON ((-96.18161868240243 46.24317727039024, -96.18234514741182 46.24319519106929, -96.18231567112382 46.243770491032066, -96.18148649519703 46.243750036451054, -96.18148933288707 46.24369466845174, -96.18161868240243 46.24317727039024))",2021-12-28,0.015613258745929648
0526d2ed-5bfa-497e-bfe3-c55822dfde0d_10,"POLYGON ((-96.18311537940906 46.244366239904785, -96.1822861939362 46.244345790922125, -96.18231567112382 46.243770491032066, -96.18314484795023 46.24379093960641, -96.18311537940906 46.244366239904785))",2021-12-28,0.016272492519572104
0526d2ed-5bfa-497e-bfe3-c55822dfde0d_11,"POLYGON ((-96.1822861939362 46.244345790922125, -96.181457009363 46.24432533593272, -96.18148649519703 46.243750036451054, -96.18231567112382 46.243770491032066, -96.1822861939362 46.244345790922125))",2021-12-28,0.014429665457476846
0526d2ed-5bfa-497e-bfe3-c55822dfde0d_12,"POLYGON ((-96.18147555835617 46.243749766575355, -96.18148649519703 46.243750036451054, -96.181457009363 46.24432533593272, -96.1813324345213 46.24432226191494, -96.18147555835617 46.243749766575355))",2021-12-28,0.011725293132328255
0526d2ed-5bfa-497e-bfe3-c55822dfde0d_13,"POLYGON ((-96.18227347582186 46.244594, -96.1822861939362 46.244345790922125, -96.18311537940906 46.244366239904785, -96.1831037125223 46.244594, -96.18227347582186 46.244594))",2021-12-28,0.011787659539874772
0526d2ed-5bfa-497e-bfe3-c55822dfde0d_14,"POLYGON ((-96.18144323909702 46.244594, -96.181457009363 46.24432533593272, -96.1822861939362 46.244345790922125, -96.18227347582186 46.244594, -96.18144323909702 46.244594))",2021-12-28,0.013843483876175485
0526d2ed-5bfa-497e-bfe3-c55822dfde0d_15,"POLYGON ((-96.181327 46.244594, -96.1812793809524 46.2445344761905, -96.1813324345213 46.24432226191494, -96.181457009363 46.24432533593272, -96.18144323909702 46.244594, -96.181327 46.244594))",2021-12-28,0.011760031783869713
0526d2ed-5bfa-497e-bfe3-c55822dfde0d_16,"POLYGON ((-96.183901 46.243412, -96.183907 46.243607, -96.18391536849644 46.2438099360386, -96.18314484795023 46.24379093960641, -96.18317431559204 46.24321563923539, -96.18389455552139 46.243233395878626, -96.183901 46.243412))",2021-12-28,0.014601304439301474
0526d2ed-5bfa-497e-bfe3-c55822dfde0d_17,"POLYGON ((-96.183923 46.243995, -96.18394318808838 46.24438664891461, -96.18311537940906 46.244366239904785, -96.18314484795023 46.24379093960641, -96.18391536849644 46.2438099360386, -96.183923 46.243995))",2021-12-28,0.015527059691097564
0526d2ed-5bfa-497e-bfe3-c55822dfde0d_19,"POLYGON ((-96.18394388006656 46.24440007329139, -96.18393394919835 46.244594, -96.1831037125223 46.244594, -96.18311537940906 46.244366239904785, -96.18394318808838 46.24438664891461, -96.18394388006656 46.24440007329139))",2021-12-28,0.013917148205420367
26532443-34b8-412e-aa81-ae3e42520632_2,"POLYGON ((-96.181881020758 46.2391819377261, -96.18230767014813 46.23916207589997, -96.18255145624111 46.23916808929436, -96.18252198624954 46.23974338976599, -96.1817006235735 46.23972312927958, -96.181881020758 46.2391819377261))",2021-12-28,0.012546197237891375
26532443-34b8-412e-aa81-ae3e42520632_3,"POLYGON ((-96.1817006235735 46.23972312927958, -96.18252198624954 46.23974338976599, -96.18249251535859 46.24031869016496, -96.18166339130478 46.24029823803415, -96.1816914509732 46.23975064708048, -96.1817006235735 46.23972312927958))",2021-12-28,0.012766361349722331
26532443-34b8-412e-aa81-ae3e42520632_4,"POLYGON ((-96.1816914509732 46.23975064708048, -96.18166339130478 46.24029823803415, -96.18151018078247 46.24029445765267, -96.1816914509732 46.23975064708048))",2021-12-28,0.01382313955690205
26532443-34b8-412e-aa81-ae3e42520632_6,"POLYGON ((-96.182577 46.23974474638573, -96.18252198624954 46.23974338976599, -96.18255145624111 46.23916808929436, -96.182577 46.23916871918846, -96.182577 46.23974474638573))",2021-12-28,0.010254907705830603
26532443-34b8-412e-aa81-ae3e42520632_7,"POLYGON ((-96.182577 46.24032077354639, -96.18249251535859 46.24031869016496, -96.18252198624954 46.23974338976599, -96.182577 46.23974474638573, -96.182577 46.24032077354639))",2021-12-28,0.014243939251014059
26532443-34b8-412e-aa81-ae3e42520632_8,"POLYGON ((-96.18151018078247 46.24029445765267, -96.18166339130478 46.24029823803415, -96.18163391086958 46.24087353795207, -96.18131973805183 46.24086578584462, -96.18151018078247 46.24029445765267))",2021-12-28,0.012935045598362203
26532443-34b8-412e-aa81-ae3e42520632_9,"POLYGON ((-96.18131973805183 46.24086578584462, -96.18163391086958 46.24087353795207, -96.18160442953464 46.24144883779727, -96.18112929536292 46.24143711391131, -96.18131973805183 46.24086578584462))",2021-12-28,0.015073546154196517
